RELQ_ID	RELQ_CATEGORY	RelQSubject	RelQBody	RELQ_USERID	RELQ_USERNAME	RELQ_DATE	RELC_ID	RelCText	RELC_RELEVANCE2RELQ	RELC_USERID	RELC_USERNAME	RELC_DATE
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C1	for family with 2 child ; you ll probably need 2br flat which will cost about 7000-8000 and for school you ll probably need 4000-5000. so it mean these two will take major chunk of your salary . further you can take 3000 monthly live expense and 2000 for conveyance . additionally any medical requirement . now it upto you to decide ...	Good	U4434	aamirjaved	2015-01-07 10:31:45
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C2	aamirjaved 's calculation be somewhat on the high side . i believe you should be able to get a 2br within qr 5000 and also you can easily manage your monthly expense within qr 2000 . for the schooling ; if you be an asian ; it be not that costly to my understanding . as such ; my view be that if you be an asian ; grab the offer ; but if you be a westerner ; kick it .	Good	U640	acchabaccha	2015-01-07 10:43:17
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C3	we ca n't say if it 's a good deal - you do n't include detail of the role . try to get school include in the package . agree with aamirjaved . depends on what standard of living you want . depending on area ; you may need 10k+ for a nice 2 bed .	PotentiallyUseful	U4435	arkb	2015-01-07 10:44:34
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C4	agree with aamirjaved .	Bad	U4436	Viswakumar	2015-01-07 10:49:36
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C5	ezdan 2 bedroom fully furnished you get in qr 5500 ; school asian with transportation for 2 kid 750 x2 = 1500 and qr 3000 living expense and qr 1000 miscellaneous . so net savings qr 9000 a of my 10 year experience in doha live with family .	Good	U4437	BISHWANATH2014	2015-01-07 11:19:50
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C6	no enough for the near future a qatar be get more expensive not yearly ! you can feel it every 4-5 month .	PotentiallyUseful	U4438	mido-doha	2015-01-07 11:55:01
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C7	i will suggest to go for unfurnished property ; it will cost you around qr 4000-4800 depends on locality ; asian school with transportation for two kid 1000 x2= qr 2000 ; qr 2000 for live expense and qr 500 for transport ; total cost of living would be qr 8500 - 9300 ; you can save qr +10500 ; but it totally depend on your live standard .	PotentiallyUseful	U4439	krohit_in	2015-01-07 11:58:07
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C8	1.2bhk - qr 5000/pm 2.furniture allowance incl all house hold item ( for one time = qr 14000 - 16000 ) for two bed room flat . schooling for tow kid incl transport ( asian ) = qr 1800 3.net + phone = qr 600 4 . house living expenses = qr 2500 5 . miscellaneous = qr 1000 if you be from india then the cost of living should be like allmost the same ... ..	PotentiallyUseful	U4440	Hamidpipi1	2015-01-07 12:08:47
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C9	if you have decide to join this qatar company ; you mus to attest your educational certificate.for attestation & translation purpose please contact to sheenservices wll.. website : http : //sheenservices.com/contact-us.html-44366147/55974495	Bad	U68	Mary-vani	2015-01-07 12:43:13
Q201_R26	working in qatar	salary v cost of living doha	family with 2 kid ( 9 & 5 year old ) - both school go salary package of 20k ( with no other benefit ) is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C10	if you be asian you should be fine with it . if you be european you would n't be fine with it all a the school and the rent fee will eat up much of it	PotentiallyUseful	U4124	yacine.h	2015-01-07 13:47:59
Q201_R29	doha shopping	why to dslr cams cost more in qatar ?	i see that the price be high in qatar on dslr cam ? why be it ? can any one suggest how i can by cheap online . i dont have any experience buying thing online . so i need advice : )	U4441	sakib12345	2011-01-24 22:32:54	Q201_R29_C1	every thing be expensive here .	PotentiallyUseful	U643	lamea	2011-01-24 22:39:19
