RELQ_ID	RELQ_CATEGORY	RelQSubject	RelQBody	RELQ_USERID	RELQ_USERNAME	RELQ_DATE	RELC_ID	RelCText	RELC_RELEVANCE2RELQ	RELC_USERID	RELC_USERNAME	RELC_DATE
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C1	For family with 2 child ; you ll probably need 2BR flat which will cost about 7000-8000 and for schooling you ll probably need 4000-5000. so it means these two will take major chunk of your salary . Further you can take 3000 monthly living expense and 2000 for conveyance . Additionally any medical requirements . Now its upto you to decide ...	Good	U4434	aamirjaved	2015-01-07 10:31:45
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C2	Aamirjaved 's calculation is somewhat on the high side . I believe you should be able to get a 2BR within QR 5000 and also you can easily manage your monthly expenses within QR 2000 . For the schooling ; if you are an Asian ; it is not that costly to my understanding . As such ; my view is that if you are an Asian ; grab the offer ; but if you are a westerner ; kick it .	Good	U640	acchabaccha	2015-01-07 10:43:17
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C3	We ca n't say if it 's a good deal - you do n't include details of the role . Try to get schooling included in the package . Agree with aamirjaved . Depends on what standard of living you want . Depending on area ; you may need 10k+ for a nice 2 bed .	PotentiallyUseful	U4435	arkb	2015-01-07 10:44:34
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C4	Agree with aamirjaved .	Bad	U4436	Viswakumar	2015-01-07 10:49:36
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C5	EZDAN 2 bedroom Fully Furnished you get in QR 5500 ; School Asian with Transportation for 2 kids 750 x2 = 1500 and QR 3000 living expense and QR 1000 miscellaneous . So Net Savings QR 9000 as of my 10 years experience in Doha living with Family .	Good	U4437	BISHWANATH2014	2015-01-07 11:19:50
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C6	no enough for the near future as Qatar is getting more expensive not yearly ! you can feel it every 4-5 months .	PotentiallyUseful	U4438	mido-doha	2015-01-07 11:55:01
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C7	I will suggest to go for unfurnished property ; it will cost you around QR 4000-4800 depends on locality ; Asian school with transportation for two kids 1000 X2= QR 2000 ; QR 2000 for living expense and QR 500 for transport ; Total cost of living would be QR 8500 - 9300 ; You can save QR +10500 ; But it totally depends on your living standard .	PotentiallyUseful	U4439	krohit_in	2015-01-07 11:58:07
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C8	1.2BHK - QR 5000/PM 2.Furniture Allowance Incl All house hold items ( For one time = QR 14000 - 16000 ) for two bed room flat . Schooling for tow kids incl transport ( Asian ) = QR 1800 3.Net + Phone = QR 600 4 . House living Expenses = QR 2500 5 . Miscellaneous = QR 1000 if you are from India then the cost of living should be like Allmost the same ... ..	PotentiallyUseful	U4440	Hamidpipi1	2015-01-07 12:08:47
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C9	if you have decided to join this Qatar company ; you mus to attested your educational certificate.For attestation & translation purpose please contact to sheenservices wll.. website : http : //sheenservices.com/contact-us.html-44366147/55974495	Bad	U68	Mary-vani	2015-01-07 12:43:13
Q201_R26	Working in Qatar	Salary vs Cost of Living Doha	Family with 2 kids ( 9 & 5 years old ) - both school going Salary package of 20K ( with no other benefit ) Is it a good deal ?	U4433	komail	2015-01-07 10:00:25	Q201_R26_C10	If you are Asian you should be fine with it . If you are European you would n't be fine with it all as the schools and the rent fees will eat up much of it	PotentiallyUseful	U4124	yacine.h	2015-01-07 13:47:59
Q201_R29	Doha Shopping	Why to DSLR cams cost more in Qatar ?	i see that the prices are higher in Qatar on DSLR cams ? why is it ? can any one suggest how i can by cheaper online . i dont have any experience buying things online . so i need advices : )	U4441	sakib12345	2011-01-24 22:32:54	Q201_R29_C1	every thing is expensive here .	PotentiallyUseful	U643	lamea	2011-01-24 22:39:19
