Q1	Q1_R1
Q1_R1	Q1_R6
Q1_R1	Q1_R10
Q1_R1	Q1_R32
Q1_R6	Q1_R10
Q1_R6	Q1_R32
Q1_R10	Q1_R32
Q2	Q2_R20
Q2_R20	Q2_R21
Q2_R20	Q2_R32
Q2_R20	Q2_R46
Q2_R20	Q2_R60
Q2_R20	Q2_R74
Q2_R20	Q2_R81
Q2_R20	Q2_R83
Q2_R21	Q2_R32
Q2_R21	Q2_R46
Q2_R21	Q2_R60
Q2_R21	Q2_R74
Q2_R21	Q2_R81
Q2_R21	Q2_R83
Q2_R32	Q2_R46
Q2_R32	Q2_R60
Q2_R32	Q2_R74
Q2_R32	Q2_R81
Q2_R32	Q2_R83
Q2_R46	Q2_R60
Q2_R46	Q2_R74
Q2_R46	Q2_R81
Q2_R46	Q2_R83
Q2_R60	Q2_R74
Q2_R60	Q2_R81
Q2_R60	Q2_R83
Q2_R74	Q2_R81
Q2_R74	Q2_R83
Q2_R81	Q2_R83
Q3	Q3_R1
Q3_R1	Q3_R13
Q3_R1	Q3_R46
Q3_R1	Q3_R49
Q3_R1	Q3_R61
Q3_R1	Q3_R77
Q3_R13	Q3_R46
Q3_R13	Q3_R49
Q3_R13	Q3_R61
Q3_R13	Q3_R77
Q3_R46	Q3_R49
Q3_R46	Q3_R61
Q3_R46	Q3_R77
Q3_R49	Q3_R61
Q3_R49	Q3_R77
Q3_R61	Q3_R77
Q4	Q4_R6
Q4_R6	Q4_R18
Q4_R6	Q4_R25
Q4_R18	Q4_R25
Q5	Q5_R3
Q5_R3	Q5_R4
Q6	Q6_R3
Q6_R3	Q6_R5
Q6_R3	Q6_R6
Q6_R3	Q6_R13
Q6_R3	Q6_R32
Q6_R5	Q6_R6
Q6_R5	Q6_R13
Q6_R5	Q6_R32
Q6_R6	Q6_R13
Q6_R6	Q6_R32
Q6_R13	Q6_R32
Q7	Q7_R22
Q8	Q8_R38
Q8_R38	Q8_R69
Q9	Q9_R5
Q9_R5	Q9_R12
Q9_R5	Q9_R21
Q9_R5	Q9_R31
Q9_R12	Q9_R21
Q9_R12	Q9_R31
Q9_R21	Q9_R31
Q10	Q10_R2
Q10_R2	Q10_R4
Q10_R2	Q10_R8
Q10_R2	Q10_R22
Q10_R4	Q10_R8
Q10_R4	Q10_R22
Q10_R8	Q10_R22
Q11	Q11_R1
Q11_R1	Q11_R3
Q11_R1	Q11_R13
